sample	value
TCGA-AO-A03N-01B	-0.0736
TCGA-AO-A03N-01B	0.4603
TCGA-AO-A03N-01B	0.5029
TCGA-AO-A03N-01B	0.4556
TCGA-AO-A03N-01B	0.4002
TCGA-AO-A03N-01B	0.467
TCGA-AO-A03N-01B	0.4163
TCGA-AO-A03N-01B	0.4454
TCGA-AO-A03N-01B	0.4052
TCGA-AO-A03N-01B	0.4479
TCGA-AO-A03N-01B	-0.3604
TCGA-AO-A03N-01B	0.4688
TCGA-AO-A03N-01B	0.684
TCGA-AO-A03N-01B	0.1938
TCGA-AO-A03N-01B	0.1599
TCGA-AO-A03N-01B	0.1903
TCGA-AO-A03N-01B	-1.1145
TCGA-AO-A03N-01B	0.1828
TCGA-AO-A03N-01B	-0.335
TCGA-AO-A03N-01B	0.0568
TCGA-AO-A03N-01B	0.3632
TCGA-AO-A03N-01B	-0.3191
TCGA-AO-A03N-01B	0.3526
TCGA-AO-A03N-01B	-0.357
TCGA-AO-A03N-01B	0.0738
TCGA-AO-A03N-01B	-0.3039
TCGA-AO-A03N-01B	0.3772
TCGA-AO-A03N-01B	-0.3918
TCGA-AO-A03N-01B	0.0268
TCGA-AO-A03N-01B	-0.3387
TCGA-AO-A03N-01B	0.0513
TCGA-AO-A03N-01B	-0.3491
TCGA-AO-A03N-01B	0.0543
TCGA-AO-A03N-01B	0.0321
TCGA-AO-A03N-01B	-0.6557
TCGA-AO-A03N-01B	0.0262
TCGA-AO-A03N-01B	0.061
TCGA-AO-A03N-01B	0.0964
TCGA-AO-A03N-01B	0.0426
TCGA-AO-A03N-01B	0.0751
TCGA-AO-A03N-01B	-0.1104
TCGA-AO-A03N-01B	-0.0504
TCGA-AO-A03N-01B	-0.1198
TCGA-AO-A03N-01B	-0.0765
TCGA-AO-A03N-01B	-0.1197
TCGA-AO-A03N-01B	0.2075
TCGA-AO-A03N-01B	-0.113
TCGA-AO-A03N-01B	-0.3911
TCGA-AO-A03N-01B	0.3323
TCGA-AO-A03N-01B	-0.1725
TCGA-AO-A03N-01B	0.7004
TCGA-AO-A03N-01B	0.261
TCGA-AO-A03N-01B	0.7605
TCGA-AO-A03N-01B	0.3005
TCGA-AO-A03N-01B	0.7654
TCGA-AO-A03N-01B	0.3067
TCGA-AO-A03N-01B	0.8188
TCGA-AO-A03N-01B	-0.3862
TCGA-AO-A03N-01B	0.2843
TCGA-AO-A03N-01B	0.8079
TCGA-AO-A03N-01B	0.0764
TCGA-AO-A03N-01B	0.7718
TCGA-AO-A03N-01B	0.3295
TCGA-AO-A03N-01B	-0.3894
TCGA-AO-A03N-01B	0.3296
TCGA-AO-A03N-01B	-0.3912
TCGA-AO-A03N-01B	0.3209
TCGA-AO-A03N-01B	0.7337
TCGA-AO-A03N-01B	0.3634
TCGA-AO-A03N-01B	-0.3616
TCGA-AO-A03N-01B	0.3602
TCGA-AO-A03N-01B	-0.3181
TCGA-AO-A03N-01B	0.3441
TCGA-AO-A03N-01B	-0.738
TCGA-AO-A03N-01B	0.3485
TCGA-AO-A03N-01B	0.3787
TCGA-AO-A03N-01B	0.3432
TCGA-AO-A03N-01B	0.4022
TCGA-AO-A03N-01B	0.3517
TCGA-AO-A03N-01B	0.7688
TCGA-AO-A03N-01B	0.3312
TCGA-AO-A03N-01B	0.3853
TCGA-AO-A03N-01B	0.3139
TCGA-AO-A03N-01B	0.8107
TCGA-AO-A03N-01B	0.361
TCGA-AO-A03N-01B	1.2033
TCGA-AO-A03N-01B	0.3816
TCGA-AO-A03N-01B	0.8159
TCGA-AO-A03N-01B	0.3889
TCGA-AO-A03N-01B	-0.3748
TCGA-AO-A03N-01B	-0.7109
TCGA-AO-A03N-01B	-0.0895
TCGA-AO-A03N-01B	-0.6491
TCGA-AO-A03N-01B	-0.2355
TCGA-AO-A03N-01B	-0.6725
TCGA-AO-A03N-01B	-0.9885
TCGA-AO-A03N-01B	-0.5318
TCGA-AO-A03N-01B	0.1029
TCGA-AO-A03N-01B	-0.9345
TCGA-AO-A03N-01B	0.0809
TCGA-AO-A03N-01B	-0.9518
TCGA-AO-A03N-01B	0.1104
TCGA-AO-A03N-01B	-0.5484
TCGA-AO-A03N-01B	-0.9199
TCGA-AO-A03N-01B	-2.787
TCGA-AO-A03N-01B	-0.9377
TCGA-AO-A03N-01B	-0.7967
TCGA-AO-A03N-01B	-0.294
TCGA-AO-A03N-01B	-0.7899
TCGA-AO-A03N-01B	-0.9552
TCGA-AO-A03N-01B	-0.3721
TCGA-AO-A03N-01B	-0.9061
TCGA-AO-A03N-01B	0.1489
TCGA-AO-A03N-01B	-0.883
TCGA-AO-A03N-01B	0.136
TCGA-AO-A03N-01B	-0.9073
TCGA-AO-A03N-01B	-4.5291
TCGA-AO-A03N-01B	-0.8851
TCGA-AO-A03N-01B	0.1127
TCGA-AO-A03N-01B	-0.2795
TCGA-AO-A03N-01B	-0.8769
TCGA-AO-A03N-01B	-0.0302
TCGA-AO-A03N-01B	-0.8916
TCGA-AO-A03N-01B	0.0786
TCGA-AO-A03N-01B	-0.9552
TCGA-AO-A03N-01B	0.0773
TCGA-AO-A03N-01B	-0.8923
TCGA-AO-A03N-01B	0.1017
TCGA-AO-A03N-01B	0.6296
TCGA-AO-A03N-01B	1.2957
TCGA-AO-A03N-01B	0.6831
TCGA-AO-A03N-01B	1.2813
TCGA-AO-A03N-01B	0.6224
TCGA-AO-A03N-01B	0.1679
TCGA-AO-A03N-01B	-0.9464
TCGA-AO-A03N-01B	-0.0169
TCGA-AO-A03N-01B	0.0054
TCGA-AO-A03N-01B	-0.0218
TCGA-AO-A03N-01B	-0.0664
TCGA-AO-A03N-01B	0.0103
TCGA-AO-A03N-01B	-0.0176
TCGA-AO-A03N-01B	0.0009
TCGA-AO-A03N-01B	-1.0846
TCGA-AO-A03N-01B	0.0091
TCGA-AO-A03N-01B	-0.0324
TCGA-AO-A03N-01B	0.0304
TCGA-AO-A03N-01B	-0.0038
TCGA-AO-A03N-01B	0.2807
TCGA-AO-A03N-01B	0.6516
TCGA-AO-A03N-01B	0.2452
TCGA-AO-A03N-01B	0.2945
TCGA-AO-A03N-01B	0.2602
TCGA-AO-A03N-01B	1.2948
TCGA-AO-A03N-01B	0.2659
TCGA-AO-A03N-01B	0.2957
TCGA-AO-A03N-01B	0.2692
TCGA-AO-A03N-01B	0.2966
TCGA-AO-A03N-01B	0.4409
TCGA-AO-A03N-01B	-0.6295
TCGA-AO-A03N-01B	0.4428
TCGA-AO-A03N-01B	-0.3797
TCGA-AO-A03N-01B	-0.3267
TCGA-AO-A03N-01B	-0.3753
TCGA-AO-A03N-01B	-0.336
TCGA-AO-A03N-01B	-0.3746
TCGA-AO-A03N-01B	0.3739
TCGA-AO-A03N-01B	0.3139
TCGA-AO-A03N-01B	0.3763
TCGA-AO-A03N-01B	0.8187
TCGA-AO-A03N-01B	0.3457
TCGA-AO-A03N-01B	0.8212
TCGA-AO-A03N-01B	0.3489
TCGA-AO-A03N-01B	0.8138
TCGA-AO-A03N-01B	1.1764
TCGA-AO-A03N-01B	0.7067
TCGA-AO-A03N-01B	-0.0586
TCGA-AO-A03N-01B	0.7842
TCGA-AO-A03N-01B	0.3664
TCGA-AO-A03N-01B	0.8516
TCGA-AO-A03N-01B	0.3975
TCGA-AO-A03N-01B	0.8813
TCGA-AO-A03N-01B	-0.2789
TCGA-AO-A03N-01B	0.8201
TCGA-AO-A03N-01B	0.368
TCGA-AO-A03N-01B	0.8583
TCGA-AO-A03N-01B	-0.3381
TCGA-AO-A03N-01B	0.8067
TCGA-AO-A03N-01B	-0.3836
TCGA-AO-A03N-01B	0.8271
TCGA-AO-A03N-01B	-0.3654
TCGA-AO-A03N-01B	0.8172
TCGA-AO-A03N-01B	0.3519
TCGA-AO-A03N-01B	0.8176
TCGA-AO-A03N-01B	-0.4411
TCGA-AO-A03N-01B	0.7803
TCGA-AO-A03N-01B	-0.4793
TCGA-AO-A03N-01B	0.3653
TCGA-AO-A03N-01B	0.9123
TCGA-AO-A03N-01B	-0.3995
TCGA-AO-A03N-01B	0.3077
TCGA-AO-A03N-01B	0.3471
TCGA-AO-A03N-01B	0.3145
TCGA-AO-A03N-01B	-0.0614
TCGA-AO-A03N-01B	0.0023
TCGA-AO-A03N-01B	-0.0312
TCGA-AO-A03N-01B	0.2935
TCGA-AO-A03N-01B	-0.06
TCGA-AO-A03N-01B	-1.6568
TCGA-AO-A03N-01B	-0.0507
TCGA-AO-A03N-01B	0.7616
TCGA-AO-A03N-01B	0.5252
TCGA-AO-A03N-01B	0.7539
TCGA-AO-A03N-01B	0.7941
TCGA-AO-A03N-01B	1.8643
TCGA-AO-A03N-01B	0.8039
TCGA-AO-A03N-01B	1.6494
TCGA-AO-A03N-01B	0.8062
TCGA-AO-A03N-01B	-0.3008
TCGA-AO-A03N-01B	0.7908
TCGA-AO-A03N-01B	0.7563
TCGA-AO-A03N-01B	1.0268
TCGA-AO-A03N-01B	0.7258
TCGA-AO-A03N-01B	1.0549
TCGA-AO-A03N-01B	1.3486
TCGA-AO-A03N-01B	1.0337
TCGA-AO-A03N-01B	0.7383
TCGA-AO-A03N-01B	0.3499
TCGA-AO-A03N-01B	-0.3864
TCGA-AO-A03N-01B	0.2808
TCGA-AO-A03N-01B	-0.3705
TCGA-AO-A03N-01B	-0.3345
TCGA-AO-A03N-01B	-0.3815
TCGA-AO-A03N-01B	-3.3193
TCGA-AO-A03N-01B	-0.3794
TCGA-AO-A03N-01B	-0.2269
TCGA-AO-A03N-01B	-0.1643
TCGA-AO-A03N-01B	-0.208
TCGA-AO-A03N-01B	-1.6319
TCGA-AO-A03N-01B	-0.2057
TCGA-AO-A03N-01B	-0.3832
TCGA-AO-A03N-01B	-0.3516
TCGA-AO-A03N-01B	-1.1617
TCGA-AO-A03N-01B	-0.3608
TCGA-AO-A03N-01B	-0.3874
TCGA-AO-A03N-01B	-0.1315
TCGA-AO-A03N-01B	-0.7168
TCGA-AO-A03N-01B	-0.1197
TCGA-AO-A03N-01B	0.4072
TCGA-AO-A03N-01B	-0.1287
TCGA-AO-A03N-01B	-1.7094
TCGA-AO-A03N-01B	-0.1191
TCGA-AO-A03N-01B	0.3842
TCGA-AO-A03N-01B	-0.7621
TCGA-AO-A03N-01B	0.4007
TCGA-AO-A03N-01B	0.3712
TCGA-AO-A03N-01B	0.4059
TCGA-AO-A03N-01B	0.2641
TCGA-AO-A03N-01B	0.2944
TCGA-AO-A03N-01B	0.255
TCGA-AO-A03N-01B	-0.1556
TCGA-AO-A03N-01B	-0.3777
TCGA-AO-A03N-01B	0.156
TCGA-AO-A03N-01B	0.1815
TCGA-AO-A03N-01B	0.1429
TCGA-AO-A03N-01B	0.7199
TCGA-AO-A03N-01B	0.1506
TCGA-AO-A03N-01B	-0.1275
TCGA-AO-A03N-01B	-0.1087
TCGA-AO-A03N-01B	-1.1852
TCGA-AO-A03N-01B	-0.1002
TCGA-AO-A03N-01B	-0.1313
TCGA-AO-A03N-01B	-0.0871
TCGA-AO-A03N-01B	-0.1389
TCGA-AO-A03N-01B	-0.1067
TCGA-AO-A03N-01B	-0.1307
TCGA-A7-A6VW-01A	-0.2773
TCGA-A7-A6VW-01A	-0.3782
TCGA-A7-A6VW-01A	-0.2824
TCGA-A7-A6VW-01A	-2.5458
TCGA-A7-A6VW-01A	-0.2679
TCGA-A7-A6VW-01A	-1.1555
TCGA-A7-A6VW-01A	-0.2785
TCGA-A7-A6VW-01A	-0.3993
TCGA-A7-A6VW-01A	-0.3261
TCGA-A7-A6VW-01A	-0.2818
TCGA-A7-A6VW-01A	-0.3516
TCGA-A7-A6VW-01A	0.2726
TCGA-A7-A6VW-01A	0.164
TCGA-A7-A6VW-01A	0.2592
TCGA-A7-A6VW-01A	0.2022
TCGA-A7-A6VW-01A	0.148
TCGA-A7-A6VW-01A	0.244
TCGA-A7-A6VW-01A	-0.0399
TCGA-A7-A6VW-01A	0.2242
TCGA-A7-A6VW-01A	0.1385
TCGA-A7-A6VW-01A	1.4906
TCGA-A7-A6VW-01A	0.1548
TCGA-A7-A6VW-01A	0.2163
TCGA-A7-A6VW-01A	0.1836
TCGA-A7-A6VW-01A	0.2219
TCGA-A7-A6VW-01A	1.4491
TCGA-A7-A6VW-01A	0.202
TCGA-A7-A6VW-01A	0.2414
TCGA-A7-A6VW-01A	0.2106
TCGA-A7-A6VW-01A	0.1455
